"_primaryKey","playedAt","_lastSeenAt","channelId","title","artist","album","durationSeconds","channelName","channelCategoryName","channelGenreName"
"8215_1785455997","2026-07-30 23:59:57","2026-07-31 00:02:40.501","8215","I Can See Clearly Now","Tommy Garrett","You're A Lady",,"Escape","Music","Jazz/Standards/Classical"
"9340_1785455995","2026-07-30 23:59:55","2026-07-31 00:01:41.169","9340","Tequila","Dan + Shay","Dan + Shay",187.468,"Y2Kountry","Music","Country"
"9145_1785455994","2026-07-30 23:59:54","2026-07-31 00:03:16.411","9145","Crystal Grass","Crystal World",,225.751,"Studio 54 Radio","Music","Dance/Electronic"
"9178_1785455992","2026-07-30 23:59:52","2026-07-31 00:02:29.360","9178","Heartbreakaholic","Lauren Watkins","Heartbreakaholic",,"Red White & Booze","Music","Country"
"theroadhouse_1785455991","2026-07-30 23:59:51","2026-07-31 00:02:12.189","theroadhouse","Here You Come Again","Dolly Parton","Here You Come Again",,"Willie's Roadhouse","Music","Country"
"8239_1785455988","2026-07-30 23:59:48","2026-07-30 23:59:51.184","8239","What is Television For","The humble Farmer","album title",30.616,"PRX Remix","News & Issues","News/Public Radio"
"altnation_1785455988","2026-07-30 23:59:48","2026-07-31 00:02:23.115","altnation","Gentleman","Towa Bird",,,"Alt Nation","Music","Rock"
"firstwave_1785455988","2026-07-30 23:59:48","2026-07-31 00:02:24.650","firstwave","Oh L'Amour","Erasure","Wonderland",,"1st Wave","Music","Rock"
"9358_1785455986","2026-07-30 23:59:46","2026-07-31 00:02:24.096","9358","Alberta 'Til I Die","Donny Lee",,186.485,"The Indigiverse","Talk & Entertainment","Canadian"
"9584_1785455984","2026-07-30 23:59:44","2026-07-31 00:02:29.360","9584","Les Fros (1993)","Richard Desjardins","Au Club Soda",,"Racines Musicales","Talk & Entertainment","Canadian"
"9507_1785455983","2026-07-30 23:59:43","2026-07-31 00:01:35.947","9507","Get Out Of Your Own Way","U2","Songs of Experience",200.371,"U2 X-Radio","Music","Rock"
"chill_1785455983","2026-07-30 23:59:43","2026-07-31 00:02:23.115","chill","Listen to Me","littleclosér","Listen to Me",,"SiriusXM Chill","Music","Dance/Electronic"
