"_primaryKey","_firstSeenAt","_lastSeenAt","channelId","assetId","name","shortDescription","mediumDescription","longDescription","category","categoryName","genre","genreName","genreIconUrl","siriusChannelNumber","xmChannelNumber","streamingChannelNumber","siriusServiceId","xmServiceId","vanityUrl","deepLink","primaryColor","secondaryColor","colorLogoUrl","greyscaleLogoUrl","explicitContent","availableToPackage","exclusiveContent","xtraChannel","deliveryTypes","packages","artistsYouHear","relatedChannels","showSchedules"
"4326","2026-02-02 18:47:47.009","2026-02-19 18:56:54.787","4326","6UlfjM2HNDecDc6zjOBYSr","Kirk Franklin's Revive & Rhyme","Christian hip-hop & rap","Christian hip-hop & rap","Christian hip-hop & rap","music","Music","christian","Christian","https://www.siriusxm.com/content/dam/sxm-com/icons/genre/Genre_Icons_Christian.svg",,,1315,,,,"[PREMIUM]","#D1B5F7","#ada9a9","[PREMIUM]","[PREMIUM]",false,true,false,false,"['satellite','ip','mobile']","['SXM_SIR_AUD_ALLACCESS','SXM_SIR_AUD_ALLACCESS_FF','SXM_SIR_AUD_FF_SXM','SXM_SIR_AUD_EVT','SXM_SIR_AUD_FF','SXM_SIR_AUD_PKG_MM','SIR_IP_SA','SIR_IP_SA_ESNTL','SIR_IP_SHOWCASE','SXM_S_1']","[]","[]","[PREMIUM]"
"4327","2026-02-02 18:47:47.009","2026-02-19 18:56:54.787","4327","48U1wfcBNW677N7X2jIw6m","Kirk Franklin's Vintage Praise","Nostalgic gospel music","Nostalgic gospel music","Nostalgic gospel music","music","Music","christian","Christian","https://www.siriusxm.com/content/dam/sxm-com/icons/genre/Genre_Icons_Christian.svg",,,1316,,,,"[PREMIUM]","#b1e1e2","#ada9a9","[PREMIUM]","[PREMIUM]",false,true,false,false,"['ip','mobile']","['SXM_SIR_AUD_ALLACCESS','SXM_SIR_AUD_ALLACCESS_FF','SXM_SIR_AUD_FF_SXM','SXM_SIR_AUD_EVT','SXM_SIR_AUD_FF','SXM_SIR_AUD_PKG_MM','SIR_IP_SA','SIR_IP_SA_ESNTL','SIR_IP_SHOWCASE','SXM_S_1']","[]","[]","[PREMIUM]"
"9675","2026-02-02 18:47:47.009","2026-02-19 18:56:54.787","9675","1lF4uzMs01VXmB13oZqaxG","Message Worship","Praise and worship music","The music you hear and sing in your Sunday service.","Praise and worship music that sings to God. It's the music you hear and sing in your Sunday service.","music","Music","christian","Christian","https://www.siriusxm.com/content/dam/sxm-com/icons/genre/Genre_Icons_Christian.svg",68,68,68,105,138,"/channels/message-worship","[PREMIUM]","#40bb0c","#050505","[PREMIUM]","[PREMIUM]",false,true,false,false,"['mobile','satellite','ip']","['SXM_SIR_AUD_ALLACCESS','SXM_SIR_AUD_ALLACCESS_FF','SXM_SIR_AUD_FF_SXM','SXM_SIR_AUD_EVT','SXM_SIR_AUD_PKG_MM','SIR_IP_SA','SIR_IP_SA_ESNTL','SIR_IP_SHOWCASE','SXM_S_1']","[]","['spirit','praise','8229','9340','newcountry','siriushits1','thepulse']","[PREMIUM]"
"9678","2026-02-02 18:47:47.009","2026-02-19 18:56:54.787","9678","5OBvEHmfSJDcIQifFsf6Iy","Sports Play-by-Play 393","Sports Play-by-Play","Live play-by-play of sports","Live play-by-play of sports","sports","Sports","sportsplay","Sports Play-by-Play",,,393,,,303,"/channels/sports-play-by-play-393","[PREMIUM]","#c3e9fc","#0072ec","[PREMIUM]","[PREMIUM]",false,true,false,false,"['satellite']","['SXM_SIR_AUD_ALLACCESS','SXM_SIR_AUD_ALLACCESS_FF','SXM_SIR_AUD_FF_SXM','SXM_SIR_AUD_EVT','SXM_SIR_AUD_FF','SIR_IP_SA','SXM_S_1']","[]","[]","[PREMIUM]"
"9679","2026-02-05 18:50:19.024","2026-02-19 18:56:54.787","9679","2AoFtd6KLZXbynovs3typs","Sports Play-by-Play 394","Sports Play-by-Play","Live play-by-play of sports","Live play-by-play of sports","sports","Sports","sportsplay","Sports Play-by-Play",,,394,,,304,"/channels/sports-play-by-play-394","[PREMIUM]","#c3e9fc","#0072ec","[PREMIUM]","[PREMIUM]",false,true,false,false,"['satellite']","['SXM_SIR_AUD_ALLACCESS','SXM_SIR_AUD_ALLACCESS_FF','SXM_SIR_AUD_FF_SXM','SXM_SIR_AUD_EVT','SXM_SIR_AUD_FF','SIR_IP_SA','SXM_S_1']","[]","[]","[PREMIUM]"
"undergroundgarage","2026-01-02 20:33:25.951","2026-02-19 18:56:54.787","undergroundgarage","32tXw9wiMQFjLccfbfdlyv","Underground Garage","Maximum rock & soul","Maximum rock & soul. The 'Coolest records ever made'. Produced by Little Steven.","Maximum rock & soul. The 'Coolest records ever made'. Produced by 'Little Steven' Van Zandt, member of the E Street Band and star of The Sopranos.","music","Music","rock","Rock","https://www.siriusxm.com/content/dam/sxm-com/icons/genre/Genre_Icons_Rock.svg",21,21,21,26,92,"/channels/underground-garage","[PREMIUM]","#f7c120","#892d7e","[PREMIUM]","[PREMIUM]",false,true,false,false,"['satellite','ip','mobile']","['SXM_SIR_AUD_ALLACCESS','SXM_SIR_AUD_ALLACCESS_FF','SXM_SIR_AUD_FF_SXM','SXM_SIR_AUD_EVT','SXM_SIR_AUD_FF','SXM_SIR_AUD_PKG_MM','SXM_SIR_AUD_BASIC','SXM_SIR_AUD_ALLACCESS_BASIC','SIR_IP_SA','SIR_IP_SA_ESNTL','SIR_IP_SHOWCASE','SXM_S_1']","['the Rolling Stones','The Ramones','Bob Dylan','The Who','Green Day','The Byrds','The White Stripes','The Stooges','Little Steven','Mark Lindsay','Rodney Bingenheimer','Lenny Kaye','Kid Leo','Michael Des Barres','The Mighty Manfred','Palmyra Delran','Kelly Ogden','Slim Jim Phantom ','Chris Carter','Bill Kelly','Genya Ravan','Peter Zaremba','Speedie John','Rich Russo','Robert Cotto']","['thevault','estreetradio','outlawcountry','siriuslysinatra','60svibrations']","[PREMIUM]"
"totally70s","2026-01-02 20:33:25.951","2026-02-19 18:56:54.787","totally70s","2Jf9iUpQFWfMN417GD2N8N","70s on 7","The biggest & best 70s pop","Pop tunes and pop DJs from the wild and funky decade of mood rings, disco and bell bottoms! The super 70s!","Slip on your bell bottoms and light a lava lamp! It's the super 70s with DJs who boogie down and spin 45 rpm records. Polyester outfits, pet rocks, CB radios and disco from a galaxy far, far away! Far out, man!","music","Music","pop","Pop","https://www.siriusxm.com/content/dam/sxm-com/icons/genre/GenreIcons-Pop.svg",7,7,7,8,7,"/channels/70s-on-7","[PREMIUM]","#f7941d","#8d9634","[PREMIUM]","[PREMIUM]",false,true,false,false,"['satellite','ip','mobile']","['SXM_SIR_AUD_ALLACCESS','SXM_SIR_AUD_ALLACCESS_FF','SXM_SIR_AUD_FF_SXM','SXM_SIR_AUD_EVT','SXM_SIR_AUD_FF','SXM_SIR_AUD_PKG_MM','SXM_SIR_AUD_BASIC','SXM_SIR_AUD_ALLACCESS_BASIC','SIR_IP_SA','SIR_IP_SA_ESNTL','SIR_IP_SHOWCASE','SXM_S_1','SXM_SIR_AUD_CHOICE_CTRY']","['Elton John','Eagles','Barry Manilow','ABBA','James Taylor','Bee Gees','Chicago','Doobie Brothers','Electric Light','Magic Matt','Lisa Evans','Jaybeau Jones ','Bobby Watman','Ron Parker','Jonathan','Casey Kasem']","['big80s','classicvinyl','classicrewind','60svibrations']","[PREMIUM]"
"thevault","2026-01-02 20:33:25.951","2026-02-19 18:56:54.787","thevault","t5XGf6Q7aLoG1bWmlmZPm","Deep Tracks","Deep classic album rock","Album cuts, forgotten gems and lesser played songs from some of Classic Rock's most influential artists and essential albums.","Album cuts, forgotten gems and lesser played songs from some of Classic Rock’s most influential artists and essential albums with rare demos and live tracks.  Curated shows from SiriusXM Hosts Jim Ladd, Earle Bailey, Meg Griffin, Dusty Street, Joe Elliott, Early Times, Greg Roberson and Carol Miller. Rarities from Bob Dylan, Rolling Stones, Led Zeppelin, David Bowie, Beatles, Eagles, Jethro Tull, and more.","music","Music","rock","Rock","https://www.siriusxm.com/content/dam/sxm-com/icons/genre/Genre_Icons_Rock.svg",,308,308,,275,"/channels/deep-tracks","[PREMIUM]","#00aeef","#00749e","[PREMIUM]","[PREMIUM]",false,true,false,false,"['satellite','ip','mobile']","['SXM_SIR_AUD_ALLACCESS','SXM_SIR_AUD_ALLACCESS_FF','SXM_SIR_AUD_FF_SXM','SXM_SIR_AUD_EVT','SXM_SIR_AUD_FF','SXM_SIR_AUD_PKG_MM','SXM_SIR_AUD_ALLACCESS_BASIC','SIR_IP_SA','SIR_IP_SA_ESNTL','SIR_IP_SHOWCASE','SXM_S_1']","['Rolling Stones','The Beatles','Led Zeppelin','Jimi Hendrix Experience','The Who','David Bowie','Fleetwood Mac','Eric Clapton','Genesis','Jethro Tull','Greg Roberson','Joe Elliott','Carol Miller','Earle Bailey','Early Times','Dean Baldwin','Steven Wilson']","['estreetradio','gratefuldead','thespectrum','classicrewind','undergroundgarage','4190']","[PREMIUM]"
"thespectrum","2026-01-02 20:33:25.951","2026-02-19 18:56:54.787","thespectrum","xDNysYAyiBMfHuQsWXuse","The Spectrum","Classic rock meets new rock","Where classic rock meets new rock.","The Spectrum of Rock, spanning more than six decades - from the legends of the 1960s and ‘70s to the artists breaking through now.","music","Music","rock","Rock","https://www.siriusxm.com/content/dam/sxm-com/icons/genre/Genre_Icons_Rock.svg",28,28,28,19,45,"/channels/the-spectrum","[PREMIUM]","#90338b","#1d438c","[PREMIUM]","[PREMIUM]",false,true,false,false,"['satellite','ip','mobile']","['SXM_SIR_AUD_ALLACCESS','SXM_SIR_AUD_ALLACCESS_FF','SXM_SIR_AUD_FF_SXM','SXM_SIR_AUD_EVT','SXM_SIR_AUD_FF','SXM_SIR_AUD_PKG_MM','SXM_SIR_AUD_BASIC','SXM_SIR_AUD_ALLACCESS_BASIC','SIR_IP_SA','SIR_IP_SA_ESNTL','SIR_IP_SHOWCASE','SXM_S_1']","['R.E.M.','Tom Petty','The Lumineers','U2','Fleetwood Mac','The Black Keys','Florence + The Machine','Pearl Jam.','Nathaniel Rateliff and the Night Sweats','David Bowie','Kristine Stone','Demos','Jenny Eliscu','Dave Holmes','Mark Hamilton','David Fricke ','Nathaniel Rateliff','Simon Le Bon','Theodora Richards','Ike Reilly']","['thepulse','jamon','radiomargaritaville','thebridge','coffeehouse','4096','4019','4136']","[PREMIUM]"
"theroadhouse","2026-01-02 20:33:25.951","2026-02-19 18:56:54.787","theroadhouse","2BB61DpM8tyBiGsmcDcEqC","Willie's Roadhouse","Willie's classic country","Classic Country from the '60s, '70s, '80s and more.","Willie Nelson's Classic Country channel featuring songs from the ‘60s, ‘70s and ‘80s by artists such as Willie Nelson, Merle Haggard, Dolly Parton, George Jones, Johnny Cash, Loretta Lynn, Patsy Cline, Conway Twitty and more.","music","Music","country","Country","https://www.siriusxm.com/content/dam/sxm-com/icons/genre/Genre_Icons_Country.svg",61,61,61,43,10,"/channels/willies-roadhouse","[PREMIUM]","#54201E","#005696","[PREMIUM]","[PREMIUM]",false,true,false,false,"['satellite','ip','mobile']","['SXM_SIR_AUD_ALLACCESS','SXM_SIR_AUD_ALLACCESS_FF','SXM_SIR_AUD_FF_SXM','SXM_SIR_AUD_EVT','SXM_SIR_AUD_FF','SXM_SIR_AUD_PKG_MM','SXM_SIR_AUD_BASIC','SXM_SIR_AUD_ALLACCESS_BASIC','SIR_IP_SA','SIR_IP_SA_ESNTL','SIR_IP_SHOWCASE','SXM_S_1']","['Willie Nelson','Merle Haggard','Dolly Parton','George Jones','Johnny Cash','Loretta Lynn','Patsy Cline','Conway Twitty','Kenny Rogers','Ronnie Milsap','Sunny Sweeney','Ranger Doug','Jeannie Seely','Paula Nelson','Dallas Wayne','Mike Terry','Chris Jones']","['elvisradio','bluegrass','outlawcountry']","[PREMIUM]"
